N,decentralized,system
2,0.833333,0.769231
3,0.833333,0.714286
4,0.833333,0.666667
5,0.833333,0.625000
6,0.833333,0.588235
7,0.833333,0.555556
8,0.833333,0.526316
9,0.833333,0.500000
10,0.833333,0.476190
11,0.833333,0.454545
12,0.833333,0.434783
13,0.833333,0.416667
14,0.833333,0.400000
15,0.833333,0.384615
16,0.833333,0.370370
17,0.833333,0.357143
18,0.833333,0.344828
19,0.833333,0.333333
20,0.833333,0.322581
21,0.833333,0.312500
22,0.833333,0.303030
23,0.833333,0.294118
24,0.833333,0.285714
25,0.833333,0.277778
26,0.833333,0.270270
27,0.833333,0.263158
28,0.833333,0.256410
29,0.833333,0.250000
30,0.833333,0.243902
31,0.833333,0.238095
32,0.833333,0.232558
33,0.833333,0.227273
34,0.833333,0.222222
35,0.833333,0.217391
36,0.833333,0.212766
37,0.833333,0.208333
38,0.833333,0.204082
39,0.833333,0.200000
40,0.833333,0.196078
41,0.833333,0.192308
42,0.833333,0.188679
43,0.833333,0.185185
44,0.833333,0.181818
45,0.833333,0.178571
46,0.833333,0.175439
47,0.833333,0.172414
48,0.833333,0.169492
49,0.833333,0.166667
50,0.833333,0.163934
51,0.833333,0.161290
52,0.833333,0.158730
53,0.833333,0.156250
54,0.833333,0.153846
55,0.833333,0.151515
56,0.833333,0.149254
57,0.833333,0.147059
58,0.833333,0.144928
59,0.833333,0.142857
60,0.833333,0.140845
61,0.833333,0.138889
62,0.833333,0.136986
63,0.833333,0.135135
64,0.833333,0.133333
65,0.833333,0.131579
66,0.833333,0.129870
67,0.833333,0.128205
68,0.833333,0.126582
69,0.833333,0.125000
70,0.833333,0.123457
71,0.833333,0.121951
72,0.833333,0.120482
73,0.833333,0.119048
74,0.833333,0.117647
75,0.833333,0.116279
76,0.833333,0.114943
77,0.833333,0.113636
78,0.833333,0.112360
79,0.833333,0.111111
80,0.833333,0.109890
81,0.833333,0.108696
82,0.833333,0.107527
83,0.833333,0.106383
84,0.833333,0.105263
85,0.833333,0.104167
86,0.833333,0.103093
87,0.833333,0.102041
88,0.833333,0.101010
89,0.833333,0.100000
90,0.833333,0.099010
91,0.833333,0.098039
92,0.833333,0.097087
93,0.833333,0.096154
94,0.833333,0.095238
95,0.833333,0.094340
96,0.833333,0.093458
97,0.833333,0.092593
98,0.833333,0.091743
99,0.833333,0.090909
100,0.833333,0.090090
